Table 1.1.4. Price Indexes for Gross Domestic Product
Table 1.1.4. Price Indexes for Gross Domestic Product
"Last Revised on: January 26, 2023 - Next Release Date February 23, 2023"
Line,,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,"        Gross domestic product",80.475,80.794,81.155,81.627,82.068,82.349,82.822,83.302,83.899,84.580,85.116,85.772,86.430,87.062,87.884,88.584,89.204,89.993,90.652,90.997,91.908,92.491,92.882,93.332,93.735,94.075,94.804,94.975,95.001,94.870,94.928,95.277,95.518,95.963,96.312,96.864,97.339,98.042,98.561,98.687,99.277,99.690,100.304,100.730,101.124,101.428,101.973,102.550,102.965,103.552,104.029,104.104,104.092,104.683,104.939,104.932,104.873,105.576,105.894,106.470,107.022,107.363,107.948,108.639,109.365,110.176,110.680,111.155,111.560,112.184,112.558,112.910,113.427,113.053,114.032,114.744,116.199,117.974,119.763,121.758,124.209,126.914,128.276,129.374
2,Personal consumption expenditures,79.954,80.547,80.964,81.342,81.964,82.046,82.587,82.993,83.633,84.196,84.610,85.333,85.829,86.371,87.304,87.999,88.456,89.232,89.874,89.726,90.546,91.315,91.831,92.765,93.520,94.430,95.438,93.914,93.280,93.651,94.296,95.024,95.391,95.539,95.723,96.336,97.145,98.100,98.554,98.879,99.534,99.775,100.065,100.626,100.989,101.061,101.471,101.896,102.386,102.899,103.190,103.071,102.643,103.141,103.390,103.288,103.343,103.992,104.382,104.876,105.497,105.758,106.142,106.818,107.588,108.166,108.552,108.961,109.188,109.857,110.144,110.543,110.946,110.445,111.366,111.821,113.059,114.838,116.413,118.173,120.323,122.459,123.760,124.725
3,"    Goods",87.720,88.336,88.321,88.288,88.781,87.557,87.972,87.906,88.625,89.124,89.193,90.228,90.065,90.393,91.893,91.986,91.909,92.613,93.152,91.551,92.192,93.194,93.394,94.543,95.516,96.706,98.328,93.937,92.279,93.303,94.452,95.213,95.351,94.791,94.766,95.825,97.319,98.958,99.297,99.519,100.137,99.814,99.801,100.248,100.097,99.159,99.278,99.093,99.246,99.382,99.139,97.913,95.926,96.381,96.116,95.160,94.173,94.551,94.184,94.419,94.948,94.347,94.389,94.800,95.352,95.552,95.335,95.095,94.785,95.216,94.877,94.913,94.727,93.416,94.345,94.461,95.803,97.882,99.688,101.923,104.987,107.670,108.402,108.000
4,"        Durable goods",121.100,120.491,119.889,119.092,117.561,116.283,115.107,114.056,113.956,113.861,112.991,113.146,112.901,112.741,111.928,111.667,111.198,110.681,110.188,109.485,108.914,108.394,107.647,107.195,106.894,106.197,105.856,105.101,104.536,104.263,103.463,103.817,103.255,102.336,101.577,101.259,101.272,101.527,101.365,100.957,100.819,100.226,99.649,99.306,98.924,98.205,97.667,97.076,96.274,95.707,95.226,94.510,93.874,93.780,93.152,92.628,92.146,91.728,90.747,89.942,89.947,89.411,88.599,88.313,88.142,87.910,87.456,87.284,87.340,87.101,86.681,86.116,85.861,85.278,86.274,86.715,86.989,90.019,92.198,94.029,95.926,96.508,97.336,96.572
5,"        Nondurable goods",73.813,74.876,75.086,75.350,76.609,75.426,76.471,76.801,77.844,78.579,79.030,80.428,80.296,80.825,83.315,83.555,83.643,84.864,85.843,83.861,85.028,86.691,87.299,89.147,90.661,92.649,95.092,89.215,87.123,88.650,90.583,91.511,91.937,91.528,91.811,93.452,95.578,97.808,98.362,98.862,99.822,99.624,99.869,100.684,100.643,99.601,100.035,100.049,100.666,101.151,101.030,99.548,96.873,97.611,97.533,96.351,95.098,95.894,95.856,96.655,97.469,96.836,97.348,98.150,99.114,99.561,99.481,99.202,98.682,99.497,99.208,99.602,99.459,97.736,98.622,98.525,100.581,101.963,103.491,105.969,109.779,113.862,114.518,114.368
6,"    Services",76.113,76.694,77.317,77.892,78.576,79.290,79.893,80.535,81.137,81.732,82.319,82.886,83.714,84.364,85.009,86.009,86.738,87.551,88.246,88.840,89.752,90.402,91.082,91.909,92.557,93.333,94.043,93.898,93.752,93.817,94.224,94.935,95.411,95.897,96.181,96.580,97.058,97.682,98.191,98.567,99.240,99.756,100.194,100.810,101.426,102.005,102.562,103.295,103.956,104.661,105.226,105.678,106.059,106.579,107.099,107.446,108.050,108.841,109.633,110.265,110.935,111.658,112.227,113.046,113.933,114.716,115.433,116.198,116.721,117.519,118.159,118.765,119.509,119.511,120.416,121.095,122.248,123.791,125.185,126.607,128.126,129.875,131.516,133.324
7,Gross private domestic investment,87.922,87.678,87.628,88.136,88.454,88.382,88.414,88.994,89.825,90.773,91.550,92.444,93.385,94.297,95.287,96.386,97.258,97.864,98.427,99.153,99.658,99.683,99.680,99.602,99.694,99.801,100.270,102.132,101.294,99.686,98.346,97.998,97.565,97.580,97.640,97.961,98.228,98.698,98.869,99.020,99.403,99.862,100.286,100.448,100.459,100.790,101.080,101.588,102.261,102.582,103.228,103.617,103.643,103.511,103.590,103.395,102.946,103.401,103.574,104.143,104.499,105.117,105.545,105.809,106.458,107.054,107.501,107.752,108.426,108.978,109.156,109.114,109.613,109.899,110.562,111.293,112.200,112.977,114.847,117.292,120.103,122.982,125.266,126.414
8,"    Fixed investment",87.358,87.444,87.374,87.823,88.155,88.078,88.114,88.711,89.516,90.471,91.240,92.147,93.119,94.023,95.085,96.162,97.059,97.663,98.178,98.931,99.433,99.495,99.462,99.435,99.636,99.770,100.412,101.367,100.651,99.327,98.282,98.046,97.539,97.464,97.468,97.800,98.099,98.615,98.812,99.038,99.530,99.833,100.243,100.395,100.461,100.841,101.207,101.854,102.584,102.860,103.479,103.764,104.069,104.065,104.169,103.998,103.678,104.059,104.248,104.822,105.212,105.812,106.251,106.482,107.155,107.804,108.239,108.529,109.189,109.733,109.942,109.929,110.357,110.832,111.401,112.125,113.107,114.265,116.290,118.771,121.640,124.647,126.981,128.381
9,"        Nonresidential",92.056,91.970,91.699,91.730,91.375,91.193,90.954,91.103,91.367,91.917,92.149,92.789,93.644,94.241,94.577,95.311,95.901,96.377,96.972,97.730,98.207,98.390,98.344,98.301,98.706,99.005,100.043,101.573,100.864,99.529,98.400,97.941,97.289,97.359,97.365,97.652,97.970,98.515,98.746,99.006,99.628,99.915,100.239,100.218,99.967,100.134,100.277,100.625,101.018,101.297,101.630,101.930,102.145,102.019,101.922,101.550,101.040,101.151,100.970,101.316,101.585,101.964,102.177,102.240,102.425,102.723,102.983,103.164,103.802,104.321,104.347,104.150,104.481,104.994,104.978,105.338,105.513,105.612,106.818,108.811,110.646,112.932,115.006,115.996
