Line,,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,Personal income,9041.5,9141.3,9188.4,9272.6,9313.6,9425.6,9559,9695.8,9792.4,9957.8,10103.6,10323.3,10345.2,10516.8,10686.1,10871.7,11181.1,11336.3,11435.7,11585.7,11824.1,11988.7,12069.2,12203.4,12335.3,12669.4,12508.6,12396.9,12057,12087.3,12033.3,12144,12321.2,12544.7,12682,12830.2,13175.9,13280.6,13413.8,13486.9,13786.3,13945.9,13922.7,14402.6,14019.5,14153,14244.1,14358,14625.1,14874.6,15099.5,15307.1,15497.7,15639.9,15757,15846.4,15918.6,16002.1,16151.6,16315.3,16551.9,16740.6,16921.4,17145.4,17355,17550.7,17800.6,18028.9,18345.4,18504.9,18655.5,18842.3,19033.7,20479.4,20019.2,19796.9,22095.5,20916.4,21005.2,21162.1,21319.8,21578.3,21969.5,22368.3
2,    Compensation of employees,6060.7,6129.1,6156.9,6193.7,6213.2,6307.3,6393.7,6500.2,6541.3,6668.5,6803.7,6864.5,6926.3,7005.6,7122.6,7209.9,7379.7,7428,7487.3,7623.6,7806,7845.2,7885.2,7977.5,8054.9,8054.9,8074.4,8043.2,7730.4,7762,7746.5,7797.2,7767.6,7910.6,7982.2,8041,8170.1,8206.4,8287.3,8240.9,8456.4,8503.8,8546.1,8763.2,8732.6,8819.6,8845.6,8942.5,9114.2,9172.4,9280.6,9433.5,9563.8,9666.2,9751.7,9816,9851.7,9905.2,9998.5,10109.1,10224.3,10335.9,10478.4,10658.9,10783.2,10891,11042.9,11114.5,11329.6,11389.4,11455.2,11618.2,11781.8,11053.4,11563.4,11972.4,12058.5,12369.8,12681.3,13044.4,13259.7,13415.2,13755,13972.6
3,        Wages and salaries,4945.9,4998.3,5012.1,5027.1,5027,5101.4,5168.7,5256,5274.5,5380.7,5492.8,5536.1,5574.6,5637.8,5738.3,5814.8,5971.4,6012.6,6061.9,6181.1,6343.8,6370.3,6397.6,6473.9,6539.4,6532.7,6547.2,6517.2,6225.6,6254.5,6237.2,6279.2,6233.2,6360.7,6422.5,6473.6,6577.3,6608.2,6681.6,6637.6,6836.3,6876,6906.1,7094.2,7043.9,7103,7112.9,7196.3,7358.6,7409.4,7503,7634.3,7746.2,7830.8,7903,7958,7992.7,8039.2,8119.3,8213.7,8311,8402.1,8518.3,8666.3,8762.6,8843.1,8969.5,9025,9222,9272.7,9328.7,9475,9624.7,8995.7,9425.4,9783.7,9851.2,10138.5,10422.3,10748.4,10925.5,11058,11361,11549.3
4,            Private industries,4090.7,4130.2,4132.3,4138.7,4125.8,4189.4,4251,4331,4337.9,4432.5,4536.1,4568.2,4596.8,4651.7,4742.8,4809,4956.8,4986.8,5019.9,5125.3,5272.1,5289.8,5304,5365.5,5414.6,5396.7,5396,5353.8,5062.8,5078.4,5058.2,5096.1,5047.5,5164.1,5231.3,5282.5,5384.2,5409,5484,5448.1,5637.6,5680.2,5709.2,5892.2,5837.5,5896.2,5908,5982.3,6136.8,6178.8,6261.6,6380.6,6483,6557.8,6622.8,6671.3,6698.3,6736.7,6805.2,6892.7,6979.5,7061.8,7165,7298.6,7380.8,7448.3,7557.7,7605.5,7797.6,7836.7,7869.4,7992.8,8111.4,7529.8,7926.3,8284.1,8340.8,8609.3,8858.2,9175.7,9337.8,9457.7,9737.3,9906.1
5,            Government,855.1,868.2,879.8,888.4,901.2,911.9,917.8,924.9,936.6,948.3,956.6,967.9,977.8,986.1,995.5,1005.8,1014.6,1025.8,1041.9,1055.8,1071.6,1080.5,1093.6,1108.5,1124.8,1136,1151.2,1163.4,1162.8,1176,1179,1183.1,1185.8,1196.6,1191.3,1191.1,1193.1,1199.2,1197.6,1189.5,1198.7,1195.8,1196.8,1202,1206.4,1206.8,1204.8,1214,1221.9,1230.6,1241.5,1253.7,1263.2,1273,1280.2,1286.7,1294.4,1302.6,1314.1,1321,1331.5,1340.3,1353.3,1367.7,1381.8,1394.8,1411.8,1419.5,1424.4,1436,1459.2,1482.2,1513.3,1466,1499.1,1499.6,1510.4,1529.3,1564.2,1572.7,1587.8,1600.4,1623.8,1643.3
6,        Supplements to wages and salaries,1114.9,1130.8,1144.8,1166.6,1186.2,1205.9,1225,1244.3,1266.8,1287.7,1310.9,1328.4,1351.6,1367.7,1384.4,1395.2,1408.3,1415.4,1425.4,1442.6,1462.2,1474.8,1487.6,1503.6,1515.5,1522.2,1527.2,1526,1504.8,1507.5,1509.3,1518.1,1534.4,1549.9,1559.7,1567.4,1592.8,1598.2,1605.7,1603.3,1620.1,1627.8,1640,1669,1688.7,1716.6,1732.7,1746.2,1755.6,1763.1,1777.6,1799.2,1817.7,1835.4,1848.7,1858,1858.9,1866,1879.2,1895.3,1913.3,1933.8,1960.1,1992.7,2020.7,2047.9,2073.5,2089.5,2107.6,2116.7,2126.5,2143.3,2157.1,2057.7,2138,2188.7,2207.3,2231.3,2259,2296,2334.2,2357.1,2394,2423.2
7,            Employer contributions for employee pension and insurance funds1,753.2,764.8,777.3,797.6,812.2,826.2,839.9,852.8,868,881.6,897.1,912.2,930.6,943.1,953.4,959.5,964.7,970.1,978.5,989.2,1002.5,1015,1026.8,1037.3,1045.8,1051.9,1054.4,1053.3,1048.8,1048.1,1051.5,1058.9,1070.3,1080.4,1088.9,1095.9,1102,1106.4,1109.5,1111.1,1112.1,1117.8,1128.8,1145.1,1168.4,1190.7,1205.9,1214,1216.1,1221.3,1229.9,1242.5,1256.2,1267.9,1276.3,1281.9,1284.4,1288.7,1296.5,1306.1,1318.5,1333.4,1352.8,1376.5,1403.8,1427,1444.7,1456.9,1463.3,1469.2,1475.7,1483.1,1489.5,1420.6,1478.9,1516,1532.7,1542.4,1554.6,1571.3,1589.6,1603.6,1620,1636.8
8,            Employer contributions for government social insurance,361.6,366,367.5,369,374,379.8,385,391.4,398.8,406.1,413.9,416.2,421.1,424.6,430.9,435.6,443.6,445.3,447,453.3,459.7,459.8,460.9,466.3,469.7,470.4,472.8,472.7,456,459.4,457.8,459.2,464.1,469.5,470.8,471.5,490.8,491.8,496.2,492.2,508,510,511.2,523.9,520.4,525.9,526.8,532.1,539.5,541.8,547.7,556.7,561.5,567.5,572.4,576.1,574.5,577.3,582.7,589.2,594.8,600.4,607.3,616.2,616.9,620.9,628.8,632.6,644.3,647.5,650.8,660.1,667.6,637.1,659.1,672.7,674.6,688.9,704.4,724.6,744.6,753.6,774,786.4
9,    Proprietors' income with inventory valuation and capital consumption adjustments,859.5,864.5,872.9,883.3,876.3,892.4,905.3,916.1,946.5,963,964.2,977.8,957.1,964.1,988.1,1007.2,1049.1,1052.1,1049,1053.3,1017.5,997.9,986.8,979.8,964.1,967.2,956.6,950.7,913.2,901.5,934.5,1001.3,1055.8,1102.7,1128,1142.7,1179,1210.2,1251.6,1268.9,1321.8,1355.6,1344.9,1363.2,1387.2,1410.6,1411,1400,1411.4,1450.6,1466.2,1454.4,1434.9,1411.3,1423.2,1413.8,1410.1,1409.6,1431,1442.5,1485,1501.4,1502.6,1529.4,1550.1,1557.3,1571.3,1596.1,1583.4,1575.2,1615.3,1631.9,1643.2,1475.6,1751.6,1702,1655,1776.9,1792.7,1789.8,1811.4,1835.4,1863.5,1882.9
10,        Farm,17.7,13.6,21.8,27.8,29.9,37.3,39.8,41.5,56.3,55.3,47.1,50.9,47.6,51.2,49.6,43.3,34.8,33.9,33.7,34.8,43.1,38.5,38.8,46.3,48,44.2,33.8,29.7,22.9,23.6,26.7,35.5,30.4,34,39.8,46,64.8,59.2,64.6,63.6,59.9,58.1,59.4,62.4,93,94.1,92.8,67.9,66.3,77,63.9,63.7,54.5,54.5,55.8,51.6,38,37.6,33.7,27.1,44,42,35,35.3,27.2,29.3,21.1,39.1,25.1,15.6,37.3,38.7,38.2,25.3,42.5,74.7,26.4,71.2,63.8,43.9,74.4,95.7,95.9,100.9
11,        Nonfarm,841.8,850.9,851.2,855.5,846.4,855.1,865.5,874.5,890.3,907.8,917.1,926.8,909.5,913,938.5,963.9,1014.2,1018.2,1015.3,1018.5,974.4,959.3,947.9,933.5,916.1,923.1,922.8,921,890.3,878,907.9,965.7,1025.4,1068.7,1088.2,1096.7,1114.2,1151,1187.1,1205.3,1261.9,1297.5,1285.5,1300.8,1294.2,1316.5,1318.2,1332,1345.1,1373.6,1402.2,1390.7,1380.4,1356.8,1367.4,1362.3,1372.1,1372,1397.4,1415.4,1441,1459.3,1467.7,1494.1,1523,1528,1550.2,1557,1558.3,1559.6,1578,1593.2,1605,1450.3,1709.2,1627.3,1628.6,1705.7,1728.9,1745.9,1737,1739.7,1767.6,1782
12,    Rental income of persons with capital consumption adjustment,207.3,208.9,207.7,209.9,218.7,223.2,227.5,239,243,243.4,241.8,242.9,233.7,231.2,213.6,206,194.5,183.4,177.8,168.7,162.5,180.3,193.6,208.7,249.2,280.9,305.3,325.7,326.6,335.9,355.8,372,404.9,428.9,442.6,458.3,489.1,501.4,510.1,525.6,526.7,532.4,536.1,542.8,560.8,573.1,585.1,590.7,598.1,602.6,604.6,605.5,596.2,611.3,614.9,615.6,619.8,626.7,627.6,632.5,643,643.3,652.3,663.8,668.6,674.5,688.2,688.6,689.6,696.1,699.1,708,722.6,717.9,722.6,716.3,719.4,713.5,722.7,739.6,744.9,775.9,794.9,811.8
13,    Personal income receipts on assets,1397,1408.1,1413.1,1436.3,1444.5,1436.1,1455.3,1473.4,1473.6,1490.5,1507.5,1636.7,1598.1,1669.6,1713,1800.1,1882.7,1988,2015.8,2040.4,2087.1,2212.3,2231.6,2246.9,2248.2,2204.2,2222.5,2141.3,2006.9,1875.6,1783.9,1748.4,1763.3,1775.8,1780.5,1827.5,1887.8,1915.4,1935.6,2009.8,2081.4,2136,2078.6,2318.7,2026.1,2036.5,2074.2,2099,2167,2266.7,2336,2390.4,2447.6,2469.7,2478.9,2503.2,2517,2524.3,2549.9,2579.4,2645.5,2711.5,2723.3,2733.8,2758.1,2816.3,2878.4,2996.1,3047.7,3121.8,3148.6,3158,3144.3,3076.3,3043.8,3117.4,3132,3196.3,3222.9,3258.5,3269.9,3323,3358.8,3424
14,        Personal interest income,1011.5,1010.6,1010.8,1026.3,1034.9,1025,1020.7,1000,960.1,949.5,960.8,991.2,1044,1100.8,1139,1185.8,1198.3,1272.8,1284.2,1280.5,1308.7,1393.3,1401.8,1413.1,1384.2,1378,1425.8,1409.8,1341.6,1314,1279.1,1268.1,1259.4,1252.2,1226,1234,1251.6,1255.1,1238.7,1277,1326,1349.5,1282,1316.7,1269,1256.4,1264.5,1272.6,1292.5,1322.2,1351.1,1381.5,1401.3,1447.5,1454.7,1463.7,1465.6,1456.6,1463.1,1475.5,1533,1547.1,1554.5,1561.2,1578.4,1600.9,1612.6,1643.5,1647.3,1664,1655.5,1665.8,1660.2,1638.6,1643.2,1647.2,1655.7,1665.4,1655.7,1657.5,1670.8,1708.6,1738.1,1789
15,        Personal dividend income,385.5,397.5,402.2,410,409.6,411.1,434.5,473.4,513.5,541,546.7,645.5,554.1,568.7,573.9,614.3,684.4,715.2,731.7,759.9,778.4,819,829.8,833.8,864,826.3,796.7,731.5,665.3,561.6,504.8,480.3,503.9,523.6,554.4,593.5,636.1,660.3,696.8,732.8,755.4,786.5,796.6,1002,757.1,780.1,809.7,826.4,874.5,944.5,984.9,1008.9,1046.3,1022.2,1024.2,1039.5,1051.4,1067.7,1086.8,1103.9,1112.5,1164.4,1168.8,1172.6,1179.7,1215.4,1265.8,1352.6,1400.4,1457.8,1493.1,1492.2,1484.1,1437.7,1400.6,1470.1,1476.3,1530.9,1567.3,1601,1599.1,1614.4,1620.7,1635
16,    Personal current transfer receipts,1260,1282.3,1292.1,1306.4,1324.2,1340.6,1361,1363.2,1397.1,1416,1425.5,1446.3,1488.1,1512.6,1528.3,1537.9,1588.3,1602.8,1628.3,1635.9,1706.7,1710.4,1732.7,1762.7,1802.9,2148.4,1941.4,1927.8,2039.7,2178.6,2176.3,2192.3,2303.2,2311.1,2336.1,2350.1,2361.8,2361.6,2352.1,2359.3,2340.4,2362.8,2364.7,2384.2,2403.5,2416.2,2434.5,2443.2,2474.1,2526.8,2568.2,2597.1,2644.1,2682.3,2699.1,2716.1,2745.4,2767.7,2787.1,2807.9,2831.4,2838.2,2869.8,2883.4,2938.7,2965.2,2990.1,3012.4,3105.7,3140.3,3162.7,3170.5,3212.4,5556.4,4385.7,3770.2,6022.3,4381.6,4139.6,3925.7,3868.7,3883.2,3892.8,3998.2
