"Indicators","YearMonth","CPI","Month","Year","date","Inflation"
"Consumer Price Index (The same month last year=100)","Jan 2002",99,"Jan","2002",2002-01-01,NA
"Consumer Price Index (The same month last year=100)","Feb 2002",100,"Feb","2002",2002-02-01,NA
"Consumer Price Index (The same month last year=100)","Mar 2002",99.2,"Mar","2002",2002-03-01,NA
"Consumer Price Index (The same month last year=100)","Apr 2002",98.7,"Apr","2002",2002-04-01,NA
"Consumer Price Index (The same month last year=100)","May 2002",98.9,"May","2002",2002-05-01,NA
"Consumer Price Index (The same month last year=100)","Jun 2002",99.2,"Jun","2002",2002-06-01,NA
"Consumer Price Index (The same month last year=100)","Jul 2002",99.1,"Jul","2002",2002-07-01,NA
"Consumer Price Index (The same month last year=100)","Aug 2002",99.3,"Aug","2002",2002-08-01,NA
"Consumer Price Index (The same month last year=100)","Sep 2002",99.3,"Sep","2002",2002-09-01,NA
"Consumer Price Index (The same month last year=100)","Oct 2002",99.2,"Oct","2002",2002-10-01,NA
"Consumer Price Index (The same month last year=100)","Nov 2002",99.3,"Nov","2002",2002-11-01,NA
"Consumer Price Index (The same month last year=100)","Dec 2002",99.6,"Dec","2002",2002-12-01,NA
"Consumer Price Index (The same month last year=100)","Jan 2003",100.4,"Jan","2003",2003-01-01,1.41414141414142
"Consumer Price Index (The same month last year=100)","Feb 2003",100.2,"Feb","2003",2003-02-01,0.200000000000003
"Consumer Price Index (The same month last year=100)","Mar 2003",100.9,"Mar","2003",2003-03-01,1.71370967741936
"Consumer Price Index (The same month last year=100)","Apr 2003",101,"Apr","2003",2003-04-01,2.33029381965552
"Consumer Price Index (The same month last year=100)","May 2003",100.7,"May","2003",2003-05-01,1.82002022244691
"Consumer Price Index (The same month last year=100)","Jun 2003",100.3,"Jun","2003",2003-06-01,1.10887096774193
"Consumer Price Index (The same month last year=100)","Jul 2003",100.5,"Jul","2003",2003-07-01,1.41271442986883
"Consumer Price Index (The same month last year=100)","Aug 2003",100.9,"Aug","2003",2003-08-01,1.61127895266869
"Consumer Price Index (The same month last year=100)","Sep 2003",101.1,"Sep","2003",2003-09-01,1.81268882175226
"Consumer Price Index (The same month last year=100)","Oct 2003",101.8,"Oct","2003",2003-10-01,2.62096774193548
"Consumer Price Index (The same month last year=100)","Nov 2003",103,"Nov","2003",2003-11-01,3.72608257804633
"Consumer Price Index (The same month last year=100)","Dec 2003",103.2,"Dec","2003",2003-12-01,3.61445783132531
"Consumer Price Index (The same month last year=100)","Jan 2004",103.2,"Jan","2004",2004-01-01,2.78884462151394
"Consumer Price Index (The same month last year=100)","Feb 2004",102.1,"Feb","2004",2004-02-01,1.89620758483033
"Consumer Price Index (The same month last year=100)","Mar 2004",103,"Mar","2004",2004-03-01,2.0812685827552
"Consumer Price Index (The same month last year=100)","Apr 2004",103.8,"Apr","2004",2004-04-01,2.77227722772277
"Consumer Price Index (The same month last year=100)","May 2004",104.4,"May","2004",2004-05-01,3.67428003972195
"Consumer Price Index (The same month last year=100)","Jun 2004",105,"Jun","2004",2004-06-01,4.68594217347956
"Consumer Price Index (The same month last year=100)","Jul 2004",105.3,"Jul","2004",2004-07-01,4.77611940298507
"Consumer Price Index (The same month last year=100)","Aug 2004",105.3,"Aug","2004",2004-08-01,4.36075322101089
"Consumer Price Index (The same month last year=100)","Sep 2004",105.2,"Sep","2004",2004-09-01,4.05539070227498
"Consumer Price Index (The same month last year=100)","Oct 2004",104.3,"Oct","2004",2004-10-01,2.45579567779961
"Consumer Price Index (The same month last year=100)","Nov 2004",102.8,"Nov","2004",2004-11-01,-0.194174757281556
"Consumer Price Index (The same month last year=100)","Dec 2004",102.4,"Dec","2004",2004-12-01,-0.77519379844961
"Consumer Price Index (The same month last year=100)","Jan 2005",101.9,"Jan","2005",2005-01-01,-1.25968992248062
"Consumer Price Index (The same month last year=100)","Feb 2005",103.9,"Feb","2005",2005-02-01,1.76297747306563
"Consumer Price Index (The same month last year=100)","Mar 2005",102.7,"Mar","2005",2005-03-01,-0.291262135922327
"Consumer Price Index (The same month last year=100)","Apr 2005",101.8,"Apr","2005",2005-04-01,-1.92678227360308
"Consumer Price Index (The same month last year=100)","May 2005",101.8,"May","2005",2005-05-01,-2.49042145593871
"Consumer Price Index (The same month last year=100)","Jun 2005",101.6,"Jun","2005",2005-06-01,-3.23809523809524
"Consumer Price Index (The same month last year=100)","Jul 2005",101.8,"Jul","2005",2005-07-01,-3.32383665716999
"Consumer Price Index (The same month last year=100)","Aug 2005",101.3,"Aug","2005",2005-08-01,-3.79867046533713
"Consumer Price Index (The same month last year=100)","Sep 2005",100.9,"Sep","2005",2005-09-01,-4.08745247148289
"Consumer Price Index (The same month last year=100)","Oct 2005",101.2,"Oct","2005",2005-10-01,-2.97219558964525
"Consumer Price Index (The same month last year=100)","Nov 2005",101.3,"Nov","2005",2005-11-01,-1.4591439688716
"Consumer Price Index (The same month last year=100)","Dec 2005",101.6,"Dec","2005",2005-12-01,-0.781250000000011
"Consumer Price Index (The same month last year=100)","Jan 2006",101.9,"Jan","2006",2006-01-01,0
"Consumer Price Index (The same month last year=100)","Feb 2006",100.9,"Feb","2006",2006-02-01,-2.88739172281039
"Consumer Price Index (The same month last year=100)","Mar 2006",100.8,"Mar","2006",2006-03-01,-1.85004868549173
"Consumer Price Index (The same month last year=100)","Apr 2006",101.2,"Apr","2006",2006-04-01,-0.5893909626719
"Consumer Price Index (The same month last year=100)","May 2006",101.4,"May","2006",2006-05-01,-0.392927308447929
"Consumer Price Index (The same month last year=100)","Jun 2006",101.5,"Jun","2006",2006-06-01,-0.0984251968503881
"Consumer Price Index (The same month last year=100)","Jul 2006",101,"Jul","2006",2006-07-01,-0.785854616895871
"Consumer Price Index (The same month last year=100)","Aug 2006",101.3,"Aug","2006",2006-08-01,0
"Consumer Price Index (The same month last year=100)","Sep 2006",101.5,"Sep","2006",2006-09-01,0.594648166501481
"Consumer Price Index (The same month last year=100)","Oct 2006",101.4,"Oct","2006",2006-10-01,0.197628458498027
"Consumer Price Index (The same month last year=100)","Nov 2006",101.9,"Nov","2006",2006-11-01,0.592300098716692
"Consumer Price Index (The same month last year=100)","Dec 2006",102.8,"Dec","2006",2006-12-01,1.18110236220473
"Consumer Price Index (The same month last year=100)","Jan 2007",102.2,"Jan","2007",2007-01-01,0.294406280667318
"Consumer Price Index (The same month last year=100)","Feb 2007",102.7,"Feb","2007",2007-02-01,1.78394449950446
"Consumer Price Index (The same month last year=100)","Mar 2007",103.3,"Mar","2007",2007-03-01,2.48015873015873
"Consumer Price Index (The same month last year=100)","Apr 2007",103,"Apr","2007",2007-04-01,1.77865612648221
"Consumer Price Index (The same month last year=100)","May 2007",103.4,"May","2007",2007-05-01,1.9723865877712
"Consumer Price Index (The same month last year=100)","Jun 2007",104.4,"Jun","2007",2007-06-01,2.85714285714286
"Consumer Price Index (The same month last year=100)","Jul 2007",105.6,"Jul","2007",2007-07-01,4.55445544554455
"Consumer Price Index (The same month last year=100)","Aug 2007",106.5,"Aug","2007",2007-08-01,5.13326752221126
"Consumer Price Index (The same month last year=100)","Sep 2007",106.2,"Sep","2007",2007-09-01,4.63054187192119
"Consumer Price Index (The same month last year=100)","Oct 2007",106.5,"Oct","2007",2007-10-01,5.02958579881656
"Consumer Price Index (The same month last year=100)","Nov 2007",106.9,"Nov","2007",2007-11-01,4.90677134445535
"Consumer Price Index (The same month last year=100)","Dec 2007",106.5,"Dec","2007",2007-12-01,3.59922178988327
"Consumer Price Index (The same month last year=100)","Jan 2008",107.1,"Jan","2008",2008-01-01,4.7945205479452
"Consumer Price Index (The same month last year=100)","Feb 2008",108.7,"Feb","2008",2008-02-01,5.84225900681597
"Consumer Price Index (The same month last year=100)","Mar 2008",108.3,"Mar","2008",2008-03-01,4.84027105517909
"Consumer Price Index (The same month last year=100)","Apr 2008",108.5,"Apr","2008",2008-04-01,5.33980582524272
"Consumer Price Index (The same month last year=100)","May 2008",107.7,"May","2008",2008-05-01,4.15860735009671
"Consumer Price Index (The same month last year=100)","Jun 2008",107.1,"Jun","2008",2008-06-01,2.58620689655171
