"Year","Month","CPI","Date","Inflation"
2002,"Jan",177.1,2002-01-01,1.14220445459737
2002,"Feb",177.8,2002-02-01,1.13765642775882
2002,"Mar",178.8,2002-03-01,1.47559591373441
2002,"Apr",179.8,2002-04-01,1.63934426229509
2002,"May",179.8,2002-05-01,1.18176702307261
2002,"Jun",179.9,2002-06-01,1.06741573033708
2002,"Jul",180.1,2002-07-01,1.46478873239436
2002,"Aug",180.7,2002-08-01,1.80281690140844
2002,"Sep",181,2002-09-01,1.51430173864273
2002,"Oct",181.3,2002-10-01,2.02588632526732
2002,"Nov",181.3,2002-11-01,2.19842164599775
2002,"Dec",180.9,2002-12-01,2.37691001697794
2003,"Jan",181.7,2003-01-01,2.59740259740259
2003,"Feb",183.1,2003-02-01,2.9808773903262
2003,"Mar",184.2,2003-03-01,3.02013422818791
2003,"Apr",183.8,2003-04-01,2.22469410456062
2003,"May",183.5,2003-05-01,2.05784204671857
2003,"Jun",183.7,2003-06-01,2.11228460255697
2003,"Jul",183.9,2003-07-01,2.10993892282066
2003,"Aug",184.6,2003-08-01,2.15827338129497
2003,"Sep",185.2,2003-09-01,2.32044198895027
2003,"Oct",185,2003-10-01,2.04081632653061
2003,"Nov",184.5,2003-11-01,1.7650303364589
2003,"Dec",184.3,2003-12-01,1.87949143173024
2004,"Jan",185.2,2004-01-01,1.9262520638415
2004,"Feb",186.2,2004-02-01,1.69306389950846
2004,"Mar",187.4,2004-03-01,1.73724212812162
2004,"Apr",188,2004-04-01,2.28509249183895
2004,"May",189.1,2004-05-01,3.05177111716621
2004,"Jun",189.7,2004-06-01,3.26619488296135
2004,"Jul",189.4,2004-07-01,2.99075584556824
2004,"Aug",189.5,2004-08-01,2.65438786565547
2004,"Sep",189.9,2004-09-01,2.53779697624191
2004,"Oct",190.9,2004-10-01,3.18918918918919
2004,"Nov",191,2004-11-01,3.5230352303523
2004,"Dec",190.3,2004-12-01,3.2555615843733
2005,"Jan",190.7,2005-01-01,2.96976241900648
2005,"Feb",191.8,2005-02-01,3.00751879699249
